category,top_keys
電影,"[('電影', 300), ('鄧不利多', 109), ('怪獸', 94), ('葛林戴華德', 94), ('劇情', 90), ('故事', 80), ('世界', 61), ('角色', 60), ('系列', 59), ('秘密', 55), ('魔法', 55), ('魁登斯', 50), ('觀眾', 48), ('主角', 44), ('小咪', 43), ('朋友', 41), ('紐特', 35), ('阿綸', 35), ('巫師', 34), ('女主', 32), ('生活', 31), ('哈利波特', 30), ('事件', 26), ('雅各', 26), ('地方', 24), ('時候', 24), ('美國', 23), ('演員', 23), ('導演', 23), ('時間', 23), ('男主', 23), ('關係', 23), ('場景', 22), ('詹文', 22), ('過程', 20), ('身邊', 20), ('手法', 20), ('內容', 20), ('哥哥', 20), ('事情', 20), ('任務', 20), ('春華', 20), ('畫面', 19), ('電影院', 19), ('作品', 19), ('奇獸', 19), ('罪行', 19), ('索尼克', 19), ('小孩', 18), ('台灣', 18), ('影評', 18), ('愛情', 17), ('恐怖片', 17), ('女兒', 17), ('麻瓜', 17), ('黑澤', 17), ('小說', 16), ('原因', 16), ('情緒', 16), ('安妮', 16), ('反派', 16), ('奎妮', 16), ('麒麟', 16), ('羅琳', 16), ('月老', 16), ('安達', 16), ('整體', 15), ('類型', 15), ('感覺', 15), ('遊戲', 15), ('興趣', 15), ('妹妹', 15), ('教授', 15), ('問題', 15), ('印象', 14), ('人物', 14), ('背景', 14), ('家庭', 14), ('詛咒', 14), ('結局', 14), ('人生', 14), ('社會', 14), ('女生', 14), ('事實', 14), ('阿修羅', 14), ('家族', 13), ('元素', 13), ('想法', 13), ('海報', 13), ('莎拉', 13), ('女孩', 13), ('產地', 13), ('女友', 13), ('感情', 13), ('特效', 12), ('咒語', 12), ('坎城', 12), ('艾碧嘉', 12), ('媽媽', 12), ('蛋頭', 12), ('博士', 12), ('納克魯斯', 12), ('主線', 11), ('配樂', 11), ('佛母', 11), ('平台', 11), ('蝶衣', 11), ('東西', 11), ('程度', 11), ('生命', 11), ('父母', 11), ('家人', 11), ('父親', 11), ('編劇', 10), ('若男', 10), ('影展', 10), ('情節', 10), ('怨靈', 10), ('西瑟', 10), ('血盟', 10), ('老鄧', 10), ('政治', 10), ('日本', 10), ('結尾', 10), ('納豆', 10), ('爸爸', 10), ('影片', 10), ('金髮女', 10), ('感受', 9), ('片段', 9), ('動作', 9), ('片名', 9), ('英國', 9), ('橋段', 9), ('設計', 9), ('孩子', 9), ('網路', 9), ('學生', 9), ('男生', 9), ('親情', 9), ('弟弟', 9), ('老葛', 9), ('案件', 9), ('評價', 9), ('紅線', 9), ('方式', 9), ('演技', 9), ('鬼片', 9), ('塔爾斯', 9), ('時刻', 9), ('叔公', 9), ('阿興', 9), ('標題', 8), ('內心', 8), ('宗教', 8), ('細節', 8), ('真相', 8), ('女王', 8), ('能力', 8), ('視覺', 8), ('空間', 8), ('佛地魔', 8), ('娜吉妮', 8), ('身世', 8), ('霍格華茲', 8), ('眾人', 8), ('黑人', 8), ('鬼頭成', 8), ('魔比斯', 8), ('強尼戴普', 8), ('醫院', 8), ('沁萱', 8), ('戰爭', 8), ('邦媞', 8), ('琳琳', 8), ('玻璃獸', 7), ('票房', 7), ('力量', 7), ('鏡頭', 7), ('重點', 7), ('香港', 7), ('鏡子', 7), ('目標', 7), ('影集', 7), ('一生', 7), ('輩子', 7), ('記憶', 7), ('莉塔', 7), ('少年', 7), ('兄弟', 7), ('情況', 7), ('國際', 7), ('工作', 7), ('大學', 7), ('組織', 7), ('團隊', 7), ('丈夫', 7), ('阿魯', 7), ('疾病', 7), ('機會', 7)]"
國立高雄科技大學,"[('校區', 49), ('學校', 48), ('文章', 38), ('學生', 30), ('時間', 27), ('老師', 26), ('內容', 25), ('同學', 24), ('線上', 21), ('燕巢', 19), ('版本', 17), ('實體', 17), ('楠梓', 17), ('問題', 15), ('問卷', 15), ('疫情', 12), ('時候', 11), ('房間', 11), ('方式', 10), ('課程', 10), ('面鏡', 9), ('活動', 8), ('事情', 8), ('宿舍', 8), ('裝備', 8), ('教育部', 7), ('建工', 7), ('衛生局', 7), ('學期', 7), ('學長', 7), ('私訊', 6), ('情況', 6), ('網路', 6), ('資料', 6), ('狀況', 6), ('郵件', 6), ('政府', 6), ('消息', 6), ('中心', 6), ('雅思', 6), ('國旅卷', 5), ('教授', 5), ('遠距', 5), ('臉書', 5), ('足跡', 5), ('資訊', 5), ('工作', 5), ('教室', 5), ('地點', 5), ('班級', 5), ('電話', 5), ('答案', 5), ('大學', 5), ('附近', 5), ('政策', 5), ('朋友', 5), ('室友', 5), ('名單', 5), ('科目', 5), ('心得', 5), ('身體', 5), ('東西', 5), ('證照', 5), ('講座', 5), ('筆記', 5), ('高科', 4), ('學生會', 4), ('網址', 4), ('損失', 4), ('高雄', 4), ('女宿', 4), ('關係', 4), ('標準', 4), ('學分', 4), ('期中考', 4), ('課本', 4), ('深藍', 4), ('費用', 4), ('地方', 4), ('專長', 4), ('感覺', 4), ('口罩', 4), ('社團', 4), ('套房', 4), ('管道', 4), ('氣瓶', 4), ('教練', 4), ('助教', 4), ('午餐', 4), ('區域', 4), ('興趣', 4), ('考試', 4), ('旗津', 4), ('洞察力', 4), ('條件', 3), ('演唱會', 3), ('國旅券', 3), ('人員', 3), ('病毒', 3), ('風險', 3), ('愛情', 3), ('辦法', 3), ('大專', 3), ('院校', 3), ('電子', 3), ('核心', 3), ('過程', 3), ('對象', 3), ('高雄市', 3), ('簡訊', 3), ('英文', 3), ('行為', 3), ('想法', 3), ('產品', 3), ('作業', 3), ('看法', 3), ('大四', 3), ('留言', 3), ('公司', 3), ('成本', 3), ('家人', 3), ('麻煩', 3), ('電腦', 3), ('手環', 3), ('手繩', 3), ('飲料', 3), ('深藍社', 3), ('女子', 3), ('小時', 3), ('人數', 3), ('新聞', 3), ('輕症', 3), ('概念', 3), ('高科大', 3), ('方面', 3), ('紀錄', 3), ('機車', 3), ('房子', 3), ('台糖', 3), ('楓禾園', 3), ('阿姨', 3), ('成績', 3), ('運動', 3), ('小琉球', 3), ('樓梯', 3), ('練習', 3), ('水面', 3), ('眼睛', 3), ('男生', 3), ('海洋', 3), ('素食', 3), ('圖書', 3), ('痕跡', 3), ('雅房', 3), ('工廠', 2), ('智慧', 2), ('建功', 2), ('面交', 2), ('提案', 2), ('同住人', 2), ('措施', 2), ('對話', 2), ('故事', 2), ('名額', 2), ('詳情', 2), ('影響', 2), ('方法', 2), ('夜校', 2), ('通知', 2), ('居家', 2), ('大學部', 2), ('禮物卡', 2), ('大學生', 2), ('程度', 2), ('狀態', 2), ('評價', 2), ('生涯', 2), ('題目', 2), ('統計學', 2), ('經濟學', 2), ('停車場', 2), ('進修部', 2), ('得主', 2), ('市價', 2), ('統一', 2), ('組合包', 2), ('地址', 2), ('經驗', 2), ('方案', 2), ('衛保組', 2), ('高層', 2), ('案例', 2), ('猴子', 2), ('群組', 2), ('玩笑', 2), ('非常', 2), ('時期', 2), ('腦袋', 2), ('楠梓區', 2), ('環境', 2)]"
追星,"[('成員', 97), ('歌曲', 72), ('粉絲', 71), ('專輯', 56), ('時候', 50), ('影片', 43), ('樂團', 40), ('公司', 38), ('風格', 38), ('時間', 37), ('單曲', 35), ('韓國', 35), ('生日', 34), ('團體', 29), ('節目', 28), ('歌詞', 28), ('舞台', 27), ('台灣', 26), ('主唱', 26), ('活動', 25), ('文章', 24), ('記者', 24), ('演唱會', 24), ('遊戲', 23), ('內容', 23), ('偶像', 23), ('官方', 23), ('感覺', 22), ('孩子', 22), ('舞蹈', 21), ('留言', 20), ('韓流', 20), ('音樂', 19), ('樣子', 18), ('藝潭', 18), ('興趣', 17), ('頻道', 17), ('問題', 16), ('小卡', 16), ('照片', 16), ('來源', 16), ('世界', 15), ('魷魚', 15), ('少年', 15), ('吉他手', 15), ('少年團', 14), ('文化', 14), ('版本', 14), ('吉他', 14), ('印象', 14), ('資訊', 13), ('現場', 13), ('藝人', 13), ('電影', 13), ('演員', 13), ('實力', 13), ('隊長', 13), ('少女', 12), ('氛圍', 12), ('朋友', 12), ('片段', 12), ('員瑛', 12), ('副歌', 11), ('推特', 11), ('魅力', 11), ('搖滾', 11), ('契機', 11), ('祖安', 11), ('韓文', 10), ('地方', 10), ('兵役', 10), ('關係', 10), ('網路', 10), ('周邊', 10), ('服裝', 10), ('畫面', 10), ('貝斯手', 10), ('造型', 10), ('原子', 10), ('夏恩', 10), ('次數', 9), ('新聞', 9), ('作品', 9), ('特色', 9), ('故事', 9), ('身高', 9), ('性格', 9), ('人生', 9), ('旋律', 9), ('生活', 9), ('概念', 9), ('歌手', 9), ('整體', 9), ('愛情', 9), ('地點', 9), ('頭髮', 9), ('方式', 8), ('日本', 8), ('意思', 8), ('娛樂', 8), ('反應', 8), ('振興院', 8), ('數據', 8), ('團隊', 8), ('宰燦', 8), ('組合', 8), ('軼事', 8), ('本名', 8), ('練習生', 8), ('新歌', 8), ('拉麵', 8), ('眼睛', 8), ('鼓手', 8), ('女團', 8), ('台中', 8), ('麥片杯', 8), ('女生', 8), ('黃霆睿', 8), ('力量', 7), ('韓劇', 7), ('領域', 7), ('哥哥', 7), ('發言人', 7), ('拉斯維加斯', 7), ('美國', 7), ('事情', 7), ('想法', 7), ('產品', 7), ('線上', 7), ('商品', 7), ('出生地', 7), ('體重', 7), ('定位', 7), ('嘻哈', 7), ('阿妹', 7), ('衣服', 7), ('金宣虎', 7), ('會員', 7), ('孔旻智', 7), ('聲音', 6), ('系列', 6), ('媒體', 6), ('李鎮亨', 6), ('結果', 6), ('立場', 6), ('男團', 6), ('男生', 6), ('禮拜', 6), ('汶益', 6), ('血型', 6), ('專長', 6), ('類型', 6), ('心情', 6), ('笑容', 6), ('臺灣', 6), ('疫情', 6), ('娜恩', 6), ('歌單', 6), ('台北', 6), ('咖啡廳', 6), ('歐陽妮妮', 6), ('語意', 5), ('機會', 5), ('名單', 5), ('主題', 5), ('當地', 5), ('結尾', 5), ('泡泡', 5), ('關鍵字', 5), ('國際', 5), ('代表', 5), ('傳播力', 5), ('效果', 5), ('時代', 5), ('日期', 5), ('綜藝', 5), ('節奏', 5), ('中毒性', 5), ('介紹', 5), ('箱子', 5), ('概念照', 5), ('收錄曲', 5), ('老羅', 5), ('消息', 5), ('恩地', 5), ('唱腔', 5), ('電吉他', 5), ('樂評', 5), ('高音', 5), ('店家', 5), ('台南', 5), ('潤娥', 5), ('男女', 5), ('明星', 5), ('名字', 5), ('經驗', 5), ('中文', 5), ('線下', 5), ('鋼琴', 5), ('市場', 4)]"
全部,"[('電影', 300), ('鄧不利多', 109), ('怪獸', 94), ('葛林戴華德', 94), ('劇情', 90), ('故事', 80), ('世界', 61), ('角色', 60), ('系列', 59), ('秘密', 55), ('魔法', 55), ('魁登斯', 50), ('觀眾', 48), ('主角', 44), ('小咪', 43), ('朋友', 41), ('紐特', 35), ('阿綸', 35), ('巫師', 34), ('女主', 32), ('生活', 31), ('哈利波特', 30), ('事件', 26), ('雅各', 26), ('地方', 24), ('時候', 24), ('美國', 23), ('演員', 23), ('導演', 23), ('時間', 23), ('男主', 23), ('關係', 23), ('場景', 22), ('詹文', 22), ('過程', 20), ('身邊', 20), ('手法', 20), ('內容', 20), ('哥哥', 20), ('事情', 20), ('任務', 20), ('春華', 20), ('畫面', 19), ('電影院', 19), ('作品', 19), ('奇獸', 19), ('罪行', 19), ('索尼克', 19), ('小孩', 18), ('台灣', 18), ('影評', 18), ('愛情', 17), ('恐怖片', 17), ('女兒', 17), ('麻瓜', 17), ('黑澤', 17), ('小說', 16), ('原因', 16), ('情緒', 16), ('安妮', 16), ('反派', 16), ('奎妮', 16), ('麒麟', 16), ('羅琳', 16), ('月老', 16), ('安達', 16), ('整體', 15), ('類型', 15), ('感覺', 15), ('遊戲', 15), ('興趣', 15), ('妹妹', 15), ('教授', 15), ('問題', 15), ('印象', 14), ('人物', 14), ('背景', 14), ('家庭', 14), ('詛咒', 14), ('結局', 14), ('人生', 14), ('社會', 14), ('女生', 14), ('事實', 14), ('阿修羅', 14), ('家族', 13), ('元素', 13), ('想法', 13), ('海報', 13), ('莎拉', 13), ('女孩', 13), ('產地', 13), ('女友', 13), ('感情', 13), ('特效', 12), ('咒語', 12), ('坎城', 12), ('艾碧嘉', 12), ('媽媽', 12), ('蛋頭', 12), ('博士', 12), ('納克魯斯', 12), ('主線', 11), ('配樂', 11), ('佛母', 11), ('平台', 11), ('蝶衣', 11), ('東西', 11), ('程度', 11), ('生命', 11), ('父母', 11), ('家人', 11), ('父親', 11), ('編劇', 10), ('若男', 10), ('影展', 10), ('情節', 10), ('怨靈', 10), ('西瑟', 10), ('血盟', 10), ('老鄧', 10), ('政治', 10), ('日本', 10), ('結尾', 10), ('納豆', 10), ('爸爸', 10), ('影片', 10), ('金髮女', 10), ('感受', 9), ('片段', 9), ('動作', 9), ('片名', 9), ('英國', 9), ('橋段', 9), ('設計', 9), ('孩子', 9), ('網路', 9), ('學生', 9), ('男生', 9), ('親情', 9), ('弟弟', 9), ('老葛', 9), ('案件', 9), ('評價', 9), ('紅線', 9), ('方式', 9), ('演技', 9), ('鬼片', 9), ('塔爾斯', 9), ('時刻', 9), ('叔公', 9), ('阿興', 9), ('標題', 8), ('內心', 8), ('宗教', 8), ('細節', 8), ('真相', 8), ('女王', 8), ('能力', 8), ('視覺', 8), ('空間', 8), ('佛地魔', 8), ('娜吉妮', 8), ('身世', 8), ('霍格華茲', 8), ('眾人', 8), ('黑人', 8), ('鬼頭成', 8), ('魔比斯', 8), ('強尼戴普', 8), ('醫院', 8), ('沁萱', 8), ('戰爭', 8), ('邦媞', 8), ('琳琳', 8), ('玻璃獸', 7), ('票房', 7), ('力量', 7), ('鏡頭', 7), ('重點', 7), ('香港', 7), ('鏡子', 7), ('目標', 7), ('影集', 7), ('一生', 7), ('輩子', 7), ('記憶', 7), ('莉塔', 7), ('少年', 7), ('兄弟', 7), ('情況', 7), ('國際', 7), ('工作', 7), ('大學', 7), ('組織', 7), ('團隊', 7), ('丈夫', 7), ('阿魯', 7), ('疾病', 7), ('機會', 7),('校區', 49), ('學校', 48), ('文章', 38), ('學生', 30), ('時間', 27), ('老師', 26), ('內容', 25), ('同學', 24), ('線上', 21), ('燕巢', 19), ('版本', 17), ('實體', 17), ('楠梓', 17), ('問題', 15), ('問卷', 15), ('疫情', 12), ('時候', 11), ('房間', 11), ('方式', 10), ('課程', 10), ('面鏡', 9), ('活動', 8), ('事情', 8), ('宿舍', 8), ('裝備', 8), ('教育部', 7), ('建工', 7), ('衛生局', 7), ('學期', 7), ('學長', 7), ('私訊', 6), ('情況', 6), ('網路', 6), ('資料', 6), ('狀況', 6), ('郵件', 6), ('政府', 6), ('消息', 6), ('中心', 6), ('雅思', 6), ('國旅卷', 5), ('教授', 5), ('遠距', 5), ('臉書', 5), ('足跡', 5), ('資訊', 5), ('工作', 5), ('教室', 5), ('地點', 5), ('班級', 5), ('電話', 5), ('答案', 5), ('大學', 5), ('附近', 5), ('政策', 5), ('朋友', 5), ('室友', 5), ('名單', 5), ('科目', 5), ('心得', 5), ('身體', 5), ('東西', 5), ('證照', 5), ('講座', 5), ('筆記', 5), ('高科', 4), ('學生會', 4), ('網址', 4), ('損失', 4), ('高雄', 4), ('女宿', 4), ('關係', 4), ('標準', 4), ('學分', 4), ('期中考', 4), ('課本', 4), ('深藍', 4), ('費用', 4), ('地方', 4), ('專長', 4), ('感覺', 4), ('口罩', 4), ('社團', 4), ('套房', 4), ('管道', 4), ('氣瓶', 4), ('教練', 4), ('助教', 4), ('午餐', 4), ('區域', 4), ('興趣', 4), ('考試', 4), ('旗津', 4), ('洞察力', 4), ('條件', 3), ('演唱會', 3), ('國旅券', 3), ('人員', 3), ('病毒', 3), ('風險', 3), ('愛情', 3), ('辦法', 3), ('大專', 3), ('院校', 3), ('電子', 3), ('核心', 3), ('過程', 3), ('對象', 3), ('高雄市', 3), ('簡訊', 3), ('英文', 3), ('行為', 3), ('想法', 3), ('產品', 3), ('作業', 3), ('看法', 3), ('大四', 3), ('留言', 3), ('公司', 3), ('成本', 3), ('家人', 3), ('麻煩', 3), ('電腦', 3), ('手環', 3), ('手繩', 3), ('飲料', 3), ('深藍社', 3), ('女子', 3), ('小時', 3), ('人數', 3), ('新聞', 3), ('輕症', 3), ('概念', 3), ('高科大', 3), ('方面', 3), ('紀錄', 3), ('機車', 3), ('房子', 3), ('台糖', 3), ('楓禾園', 3), ('阿姨', 3), ('成績', 3), ('運動', 3), ('小琉球', 3), ('樓梯', 3), ('練習', 3), ('水面', 3), ('眼睛', 3), ('男生', 3), ('海洋', 3), ('素食', 3), ('圖書', 3), ('痕跡', 3), ('雅房', 3), ('工廠', 2), ('智慧', 2), ('建功', 2), ('面交', 2), ('提案', 2), ('同住人', 2), ('措施', 2), ('對話', 2), ('故事', 2), ('名額', 2), ('詳情', 2), ('影響', 2), ('方法', 2), ('夜校', 2), ('通知', 2), ('居家', 2), ('大學部', 2), ('禮物卡', 2), ('大學生', 2), ('程度', 2), ('狀態', 2), ('評價', 2), ('生涯', 2), ('題目', 2), ('統計學', 2), ('經濟學', 2), ('停車場', 2), ('進修部', 2), ('得主', 2), ('市價', 2), ('統一', 2), ('組合包', 2), ('地址', 2), ('經驗', 2), ('方案', 2), ('衛保組', 2), ('高層', 2), ('案例', 2), ('猴子', 2), ('群組', 2), ('玩笑', 2), ('非常', 2), ('時期', 2), ('腦袋', 2), ('楠梓區', 2), ('環境', 2),('成員', 97), ('歌曲', 72), ('粉絲', 71), ('專輯', 56), ('時候', 50), ('影片', 43), ('樂團', 40), ('公司', 38), ('風格', 38), ('時間', 37), ('單曲', 35), ('韓國', 35), ('生日', 34), ('團體', 29), ('節目', 28), ('歌詞', 28), ('舞台', 27), ('台灣', 26), ('主唱', 26), ('活動', 25), ('文章', 24), ('記者', 24), ('演唱會', 24), ('遊戲', 23), ('內容', 23), ('偶像', 23), ('官方', 23), ('感覺', 22), ('孩子', 22), ('舞蹈', 21), ('留言', 20), ('韓流', 20), ('音樂', 19), ('樣子', 18), ('藝潭', 18), ('興趣', 17), ('頻道', 17), ('問題', 16), ('小卡', 16), ('照片', 16), ('來源', 16), ('世界', 15), ('魷魚', 15), ('少年', 15), ('吉他手', 15), ('少年團', 14), ('文化', 14), ('版本', 14), ('吉他', 14), ('印象', 14), ('資訊', 13), ('現場', 13), ('藝人', 13), ('電影', 13), ('演員', 13), ('實力', 13), ('隊長', 13), ('少女', 12), ('氛圍', 12), ('朋友', 12), ('片段', 12), ('員瑛', 12), ('副歌', 11), ('推特', 11), ('魅力', 11), ('搖滾', 11), ('契機', 11), ('祖安', 11), ('韓文', 10), ('地方', 10), ('兵役', 10), ('關係', 10), ('網路', 10), ('周邊', 10), ('服裝', 10), ('畫面', 10), ('貝斯手', 10), ('造型', 10), ('原子', 10), ('夏恩', 10), ('次數', 9), ('新聞', 9), ('作品', 9), ('特色', 9), ('故事', 9), ('身高', 9), ('性格', 9), ('人生', 9), ('旋律', 9), ('生活', 9), ('概念', 9), ('歌手', 9), ('整體', 9), ('愛情', 9), ('地點', 9), ('頭髮', 9), ('方式', 8), ('日本', 8), ('意思', 8), ('娛樂', 8), ('反應', 8), ('振興院', 8), ('數據', 8), ('團隊', 8), ('宰燦', 8), ('組合', 8), ('軼事', 8), ('本名', 8), ('練習生', 8), ('新歌', 8), ('拉麵', 8), ('眼睛', 8), ('鼓手', 8), ('女團', 8), ('台中', 8), ('麥片杯', 8), ('女生', 8), ('黃霆睿', 8), ('力量', 7), ('韓劇', 7), ('領域', 7), ('哥哥', 7), ('發言人', 7), ('拉斯維加斯', 7), ('美國', 7), ('事情', 7), ('想法', 7), ('產品', 7), ('線上', 7), ('商品', 7), ('出生地', 7), ('體重', 7), ('定位', 7), ('嘻哈', 7), ('阿妹', 7), ('衣服', 7), ('金宣虎', 7), ('會員', 7), ('孔旻智', 7), ('聲音', 6), ('系列', 6), ('媒體', 6), ('李鎮亨', 6), ('結果', 6), ('立場', 6), ('男團', 6), ('男生', 6), ('禮拜', 6), ('汶益', 6), ('血型', 6), ('專長', 6), ('類型', 6), ('心情', 6), ('笑容', 6), ('臺灣', 6), ('疫情', 6), ('娜恩', 6), ('歌單', 6), ('台北', 6), ('咖啡廳', 6), ('歐陽妮妮', 6), ('語意', 5), ('機會', 5), ('名單', 5), ('主題', 5), ('當地', 5), ('結尾', 5), ('泡泡', 5), ('關鍵字', 5), ('國際', 5), ('代表', 5), ('傳播力', 5), ('效果', 5), ('時代', 5), ('日期', 5), ('綜藝', 5), ('節奏', 5), ('中毒性', 5), ('介紹', 5), ('箱子', 5), ('概念照', 5), ('收錄曲', 5), ('老羅', 5), ('消息', 5), ('恩地', 5), ('唱腔', 5), ('電吉他', 5), ('樂評', 5), ('高音', 5), ('店家', 5), ('台南', 5), ('潤娥', 5), ('男女', 5), ('明星', 5), ('名字', 5), ('經驗', 5), ('中文', 5), ('線下', 5), ('鋼琴', 5), ('市場', 4)]"
